"event_code", "event_name"
107999, "校務研究中心學生團隊研究會議第3次"
107998, "校務研究中心學生團隊研究會議第2次"
107997, "校務研究中心學生團隊研究會議第1次"
107996, "國際處週會(1130219)"
107995, "商管學院112學年度第2學期第1次系所主管座談會"
107994, "敬邀參加「上班族的視力保健」講座"
107993, "淡江大學理學院物理學系112學年度第3次課程委員會會議"
107992, "113學年度預算編列說明會(第2梯次)"
107991, "113學年度預算編列說明會(第1梯次)"
107990, "敬邀參加「『乳』沐春風：認識乳癌」講座"
107989, "AI人文跨域研究社群: 太白鴨/東坡肉/包公魚"
107988, "弘祿與弘志能源產學合作會議"
107987, "淡江大學財務處會計組113年3月份ＴＱＭ小組會議"
107986, "淡江大學112學年第2學期智慧人文實務創新學分學程說明會"
107985, "112學年度第2學期「iClass 學習平台導入與 MS Teams 操作工作坊」"
107984, "新生定向輔導暨大一導師增能討論會議"
107983, "112學年度第2學期第1次行政主管會報"
107982, "淡江大學研究發展處112學年度第2學期第1次業務會議"
107981, "淡江大學高等教育深耕計畫113年度第1次工作說明會"
107980, "淡江大學工學院電機工程學系112學年度第2學期第1次系務會議"
107979, "淡江大學研究發展處112學年度第2學期第1次業務會議"
107978, "淡江大學文學院資訊與圖書館學系系教師評審會議113學年度第1次會議(陳閱單)"
107977, "淡江大學文學院資訊與圖書館學系系教師評審會議113學年度第1次會議"
107976, "2023年USR年報第一次美編會議"
107975, "2024 工學院與AI 創智學院 「學生x 教師x 行政AI 創新智慧應用競技賽」啟動會議"
107972, "淡江大學113學年度商管學院管理科學學系系教師評審委員會第1次會議陳閱單"
107971, "淡江大學113學年度商管學院管理科學學系系教師評審委員會第1次會議簽到單"
107970, "淡江大學商管學院管理科學學系112學年度第2學期第1次招生會議"
107969, "淡江大學商管學院管理科學學系112學年度第2學期第1次課程會議"
107968, "淡江大學商管學院管理科學學系112學年度第2學期第1次系務會議"
107967, "淡江大學113年度第三週期大學校院校務評鑑項目三工作小組第2次會議"
107966, "淡江大學112學年度第2學期境外新生入學輔導講習會"
107965, "淡江大學高齡健康管理學研究所112學年度第2學期第1次所務會議"
107964, "淡江大學商管學院經濟學系招生委員會113學年度第 3次會議"
107963, "淡江大學112學年度學習與發展學門課程委員會第1次會議"
107962, "淡江大學商管學院經濟學系課程委員會 112學年度第2學期第 1 次會議"
107961, "淡江大學商管學院經濟學系112學年度第2學期第1次系務會議"
107960, "淡江大學工學院電機工程學系112學年度第2學期第1次系學審委員會議"
107959, "淡江大學工學院電機工程學系112學年度第2學期第1次系募款委員會議"
107958, "淡江大學AI創智學院人工智慧學系112年度智慧製造跨域整合人才培育聯盟計畫簽到單"
107957, "淡江大學AI創智學院人工智慧學系112年度智慧製造跨域整合人才培育聯盟計畫簽到單"
107956, "淡江大學機械與機電工程學系113學年度第1次系教師評審委員會（會簽單）"
107955, "淡江大學機械與機電工程學系113學年度第1次系教師評審委員會（簽到單）"
107954, "淡江大學商管學院會計學系112學年度系課程委員會第2學期第1次會議"
107953, "淡江大學會計學系112學年度第2學期第1次系務會議"
107952, "校務發展計畫主軸八112學年度第2期管考會議"
107951, "國際處週會(1130129)"
107950, "資通安全管理制度內部稽核結束會議"
107949, "資通安全管理制度內部稽核起始會議"
107948, "資通安全管理制度內部稽核會議結束"
107947, "資通安全管理制度內部稽核結束會議(專案發展組)"
107946, "資通安全管理制度內部稽核起始會議(專案發展組)"
107945, "資通安全管理制度內部稽核結束會議(前瞻技術組)"
107944, "淡江大學資通安全管理制度內部稽核"
107943, "淡江大學外國語文學院日本語文學系112學年度第1學期第2次TQM會議"
107942, "遠距中心資通內稽"
107941, "資通安全管理制度內部稽核結束會議(教學支援組)"
107940, "資通安全管理制度內部稽核起始會議(教學支援組)"
107939, "淡江大學商管學院運輸管理學系113學年度海外聯合招生委員會僑生及港澳生個人申請制書面審查會議"
107938, "淡江大學113學年度商管學院教師評審委員會第1次會議 (陳閱單)"
107937, "淡江大學113學年度商管學院教師評審委員會第1次會議"
107936, "淡江大學物理系112學年度第2學期第1次系務會議"
107935, "校務研究中心112學年度第2學期第1次教師團隊會議"
107934, "淡江大學資通安全管理制度 內部稽核結束會議"
107933, "112學年度1學期第1次工程教育認證推動委員會會議"
107932, "淡江大學收據管理系統開發討論會議"
107931, "淡江大學文學院112學年度第2學期第1次iLink計畫月會"
107930, "淡江大學理學院物理學系學生校外實習委員會112學年度第1次會議"
107929, "淡江大學資通安全管理制度 內部稽核會議"
107928, "淡江大學112學年度生活實驗室獎學金提案計畫成果發表會"
107927, "113學年度海聯分發—僑生及港澳生個人申請制學士班及碩士班審查會議"
107926, "113學年度海聯分發—僑生及港澳生個人申請制學士班及碩士班審查會議"
107925, "資訊長室資安內部稽核結束會議"
107924, "112學年資通安全內部稽核結束會議"
107923, "淡江大學國際事務學院全球政治經濟學系112學年度第2學期第1次系務會議"
107922, "112學年資通安全內部稽核起始會議"
107921, "淡江大學物理系112學年度第2次常務委員會"
107920, "113學年度日文系四技二專特殊選才備審資料審查委員會議紀錄"
107919, "資通安全管理制度內部稽核起始會議(前瞻技術組)"
107918, "淡江大學外交系113學年度僑生及港澳生個人申請制學士班、碩士班 書面審查委員會議"
107917, "資訊長室資安內部稽核起始會議"
107916, "113學年度僑生及港澳生個人申請制學士班及碩士班審查事宜"
107915, "淡江大學經濟系113學年度僑生及港澳生個人申請制學士班、碩士班書面審查委員會議"
107914, "淡江大學體育事務處112學年度第2次處務會議"
107913, "淡江大學工學院112學年度第1學期資通安全管理制度內部稽核結束會議"
107912, "淡江大學工學院112學年度第1學期資通安全管理制度內部稽核起始會議"
107911, "淡江大學112學年度商管學院榮譽學程進階專業課程推動小組會議"
107910, "淡江大學文學院電腦教室資源共享協調會議 112學年度第3次會議"
107909, "淡江大學土木工程學系112學年度第2學期第1次TQM小組會議"
107908, "商管學院112學年度第1學期第3次系所主管座談會"
107907, "秘書處112學年度第1次業務會議"
107906, "淡江大學AI創智學院人工智慧學系112年度智慧製造跨域整合人才培育聯盟計畫簽到單"
107905, "資訊工程學系113學年度課程排課會議"
107904, "樸實剛毅計劃-iClass 上雲優化討論會議(第十二次)"
107903, "112學年度第2學期哲學與宗教學門暨課程委員會第1次會議"
107902, "Alma資料視覺化工作坊"
107901, "淡江大學113年度第三週期大學校院校務評鑑項目三工作小組第2次會議"
107900, "樸實剛毅計畫-資訊化教學推動會-資訊處2024數位轉型&淨零轉型策略會議"
107899, "淡江大學研究發展處112學年度第1學期第1次TQM會議"
107898, "淡江大學境外生獎學金審查委員會112學年度第1學期第6次會議"
107897, "淡江大學113年度第三週期大學校院校務評鑑項目一「校務治理與經營」自我評鑑報告第3次修正會議"
107896, "2024淡江高中x淡江大學商管學院課程體驗營"
107895, "2024淡江高中x淡江大學商管學院課程體驗營"
107894, "2024淡江高中x淡江大學商管學院課程體驗營"
107893, "研議本校113年度第三週期大學校院校務評鑑項目二內容修正第2次會議"
107892, "【藝術欣賞與創作】學門會議 112學年度第2學期第1次會議"
107891, "AI創智學院3D全息投影討論會議"
107890, "112學年度第1學期資通安全管理制度內部稽核行前會議"
107889, "淡江大學工學院土木工程學系112學年度第2次系課程委員會"
107888, "淡江大學化學學系2024化學年會第2次籌備會會議"
107887, "淡江大學土木工程學系112學年度第1學期第4次系務會議開會通知單"
107886, "「文本創意視覺化」自主學習課程規劃與實踐"
107885, "淡江大學外國語文學院德國語文學系 教師評審委員會112學年度第7次會議（陳閱）"
107884, "淡江大學外國語文學院德國語文學系 教師評審委員會112學年度第7次會議"
107883, "淡江大學研究推動委員會112學年度第3次會議"
107882, "112學年度生活實驗室執行情形回報"
107881, "研究發展處112學年度第1次TQM會議"
107880, "112學年度淡江大學專任教師兼職或借調營利事業機構(團體)辦法草案討論協調會議"
107879, "俄文系2024暑期海外實習說明會"
107878, "淡江大學國際處112學年度第1學期第3次處務會議(1)"
107877, "淡江大學國際處112學年度第1學期第3次處務會議"
107876, "淡江大學113年度第三週期大學校院校務評鑑第5次會議"
107875, "淡江大學理學院TQM暨個資管理制度會議112學年度第1學期第5次會議"
107874, "統計學系112學年度第2學期第1次統計學教學研究委員會議"
107873, "統計學系112學年度第2學期第1次工業統計學程委員會議"
107872, "統計學系112學年度第2學期第1次商業統計學程委員會議"
107871, "統計學系112學年度第2學期第1次系招生會議"
107870, "統計學系112學年度第2學期第1次系課程會議"
107869, "統計學系112學年度第2學期第1次系務會議"
107867, "淡江大學教務處教師教學發展中心 112學年度第1學期第1次中心會議"
107865, "淡江大學覺生紀念圖書館校史組112學年度第2次組務會議"
107864, "智慧大未來-數位課程交流分享會"
107863, "淡江大學AI創智學院人工智慧學系112年度智慧製造跨域整合人才培育聯盟計畫簽到單"
107862, "水環系112學年度第1學期第2次系課程會議"
107861, "文學院112學年度第1學期第5次系主任座談會"
